Parameter Name,Frequency
EE OURECT) - SERUM,1
BILIRUBIN UNCONJUGATED -,1
Pnntext On,1
Pinga,1
ASHM-QF-LS(BC)-,1
Absolute Monocytes                    Calculated,1
Road Pune Maharashtra,1
Dr. Pawan Kumar Bansal                     Reporting Date,1
HB                                              L,1
TLC                                                    H,1
NEUTROPHILS                               H,1
LYMPHOCYTE                                        L,1
Platelet Count                                Light Scattering,1
Pathologist Red TNo.,1
-                                 a  gf      ie                          v,1
HCT                                            L,1
RDW                                           H,1
RR APSEB Colony Nagarjuna Sagar Road Hasthinapuram Hyderabad -,1
RE NOMS,1
ee                                ao,1
Absolute Eosinophils                    Calculated,1
. rinespeckled        AC-,1
PDC-E,1
Specific gravity,1
Reaction (pH,1
PUS (WBC) cells                   Plenty,1
Red blood Cells                       r,1
U. Epithelial Cells,1
.      Dr. V. VIJAY A HREE wp,1
RAT,1
Direct     b,1
Name                  Mrs. KALIAMMAL M,1
UHID ASM          MMHIP,1
Hemoglobin(Optcalimpedance),1
Packed cell volumo(Calculated),1
Densefine    AC-,1
_      Jo-,1
Anti HAV IgM OD Value                      H,1
OMIA,1
route. Infection with HAV is self limiting though,1
illness and persists for,1
Thiruvottiyur,1
Patient ID             UHID,1
a         GLOBULIN,1
BL.             ALBUMIN  GLOBULIN RATIO,1
TOTALCHOLESTEROL,1
TRIGLYCERIDE,1
HDL,1
LDL,1
RISK FACTOR,1
TSH,1
Control For APTT,1
LX (,1
PATIENT      Mrs PREMA.K.R                              SAMPLE COLLECTED,1
a  Dr. S.KRISHNAN MD.                     REPORTED ON       BE,1
LEPTOSPIRA IGG                   NEGATIVE,1
LEPTOSPIRA IGM                    NEGATIVE,1
This test detects Abs to about,1
First Trimester .,1
Investigation reports only help in arriving at a diagnosis in combination with the clinical presentation. All tesf,1
as well as the specimen received by the laboratory. Ph  Thiruvottiyur,1
Neutrophils                                Light Scattezing,1
Lymphocytes                               Light Scattering,1
Eosinophils                                Light Scattering,1
WBC Count(OptcalVImpedance),1
Platelet Count(OpticalImpedance),1
RBC COUNT (OptcalIimpedance),1
MCV(Opticallmpeodance),1
SID.NO.,1
typhus IgM helps to                    Positive,1
S.TYPHI,1
S.TYPHI H                            NEGATIVE,1
S.PARATYPHI AH                    NEGATIVE,1
-                                                    tue wt              TO ig,1
ena,1
Method Calculated,1
Method. Flowcytomety        o,1
tit              S. CHLORIDE,1
aan                                                                            AMM Gre kan,1
Partial Roport                                                  Kaypract,1
p           S CREATININ,1
LER FUN TOTAL BILIRUBIN,1
to Leptospira is present from the third Day of Infection and may persist upto,1
SCRUB TYPHUS IGM                   NEGATIVE The                              Negative,1
(SER JM ELISA)                          detection of scrub                        Equivocal,1
BL.           IFCC yithout PEP,1
ALT(SGPT),1
ALKALINE PH,1
sv TOTAL PROTEIN,1
a         ALBUMIN,1
ioe,1
nT            S. SODIUM,1
Ht             S. POTASSIUM,1
BL.             S.SODIUM,1
BL              S.POTASSIUM,1
BL.             S.CHLORIDE,1
Bee,1
Po   P                                          Collection Date,1
Referred By               BBRBJTEJAS SURESH RAO                               Reporting Date,1
BL.          p,1
AST(SGOT),1
CLOTTING TIME         Amin,1
Regd. iu.,1
kame Mr. BANTHALAPATI.S LAVAKUMAR RAJU,1
Interpretation Serum CA-,1
epithelial ovarian cancer. Persistantly rising CA,1
response to therapy where as decreasing CA,1
second-look procedures a CA-,1
presence of residual tumour. But however a CA,1
(CSC (Complete Bloodount),1
Method SLS Method  Colonmetric,1
Bre ets,1
Method Electncal Impedance,1
pregnancy ovarian cysts and pelvic inflammatory disease. Elevations of CA,1
cycle are also reported. Non-ovarian malignancies in which elevated CA,1
Sample processed at National Fuferance Laborntory Tenat Diagavstics Piot No.,1
Reg.No - APMCFMR,1
Dr.                                                       a,1
ickS,1
Monocyte,1
Be ont,1
Method Flowcytometry,1
rculosis  R  BRAMANIAN . MBBS. MD,1
COT,1
lL                                             Order No,1
Method. Flowcyiomety  -,1
_ sie Flowcyiomenry,1
Method Flowcylometry,1
Method Flowcytomevy,1
Absolute Monocyte Count (AMC),1
Absolute Basophil Count (ABC),1
IPCM,1
Patient i                  (IP)                  BedNoWard,1
SO Kumar tvaci pp No.,1
a.                                                                        REPORT RELEASED,1
ctor  OR.G. SAMARASIMHA REDDY (MBBS MD)               oe )  E,1
C-REACTIVE PROTEINS,1
a ne es ee,1
eke aie SER,1
ey)  fas RS GN,1
.      Sample Type  Heparin Blood                           Pro. Loc,1
UHID NOIP No      SRHO,1
Bed No         CREDIT,1
Report Date and Time,1
woof       Ammonia Level,1
Processing Branch,1
yf a                                    NABL ACCREDITED,1
Ph. No.,1
Patient Name  Mi VIKAS TYAGI                  UHID No.,1
Method. Caicuisted,1
Method Catculeted                                     .,1
Method Celculsted,1
Method Cakassted,1
fetnrocyte Sedimentation Rate (ESR),1
Method (Capiiary Maro Protomaie                                                                                                          pege,1
Albumin                                              A.,1
HOME COLLECTION FACILITY AVAILABLE.,1
residual ovarian cancer because patients with histopatholagic evidence of ovarian carcinoma may have CA,1
assay Values with in normal ranges.Elevations of CA,1
_ INR,1
SUGAR (GM),1
Mo                TIDSID        - UMR,1
p                  -BILS,1
Seer cece Fein ba,1
Method Calcuiated,1
SGOT (AST) (IFFC Without POP ),1
ALKALINE PHOSPHATASE ( IFFC Without,1
TOTAL PROTEINS ( Biuret ),1
ALBUMIN ( Bromcresol Green (BCG) ),1
GLOBULIN ( Calculated ),1
AG RATIO ( Calculated ),1
BLOOD UREA ( Urease UV ),1
CREATININE ( Enzymatic ),1
RDW-CV (HB-Colorimelry TLC Electrical i ),1
SODIUM (ISE ),1
POTASSIUM (ISE ),1
CHLORIDE (ISE ),1
User  D ANJANEYULU                                                                                                OS ehsys,1
vibe Mists Nogor              ne ra,1
on hegincouae Airopyd              eM,1
UHID NOIPNo   SRH,1
ome      Mir. BANTHALAPATI.S LAVAKUMAR RAJU                  IPNO,1
Bed No          CREDIT,1
Haemoglobin ( SLS METHOD ),1
RBC (Impedence ),1
PCV ( Impedence ),1
MCV ( Impedence ),1
MCH ( Impedence ),1
MCHC ( Impedence ),1
Reg Date and Time      -,1
Sample Date and Time,1
Lsctor MBB SAMARASIMHA REDDY (MBBS MD)               Fine       ER,1
CINo,1
At the end of,1
leads    et,1
Pout,1
a a ne ee,1
Conforming to Standards                                                                                                                                                                                                                                               MC-,1
Mr RAMALINGAIAH G C,1
.                                                                                ahh ot                       Number  IP,1
ree ge             vere ie,1
NEURO SURGICAL ICU  NEURO-,1
MICROBIOLOGY - Collected onM,1
WBC Total Count ( Impedence ),1
Platelet Count ( Impedence ),1
M.G. Road Mysuru-,1
BED  B,1
ee               a,1
MCsCERR CARRE. GRIP                                                                     Reported On  (,1
ROW                             Calculated,1
PLATELET COUNT                 Light Scattering,1
Oe                    Mahatma Gandhi Road Mysuru -,1
JSS Hospital Laboratory Services                    Ph                 Fax,1
MPV           LIGHT SCATTERING,1
ABSOLUTE NEUTROPHIL       AUTOMATED-OPTICAL,1
ABSOLUTE LYMPHOCYTE  AUTOMATED-OPTICAL,1
ABSOLUTE MONOCYTE       AUTOMATED-OPTICAL,1
ABSOLUTE EOSINOPHIL        AUTOMATED-OPTICAL,1
ABSOLUTE BASOPHIL          AUTOMATEO-OPTICAL,1
NOTE-,1
RESULT ENTERED BY,1
CRP-QUANTITATIVE (Immuno Turbidimetry,1
PROCALCITONIN (PCT) ( ELFA ),1
risk for SepsisO.,1
correlationge,1
BILIRUBIN (TOTAL) ( Diazo ),1
BILIRUBIN (DIRECT) ( Diazo ),1
BILIRUBIN (INDIRECT) ( Calculated ),1
SGPT (ALT) ( IFFC Without PDP ),1
BACTERIA COCCI,1
BACTERIA RODS,1
MUCUS,1
HAEMATOCRIT                   Caleulated,1
TOTAL WBC COUNT              Light Scattering,1
RBC COUNT                         Light Scattering,1
roms nin cenropwcmreinsvamumemmnsnamenntenrrearenemmumn RIS Fe ebiy Lys SEF hyates,1
- an HEN                                          Beye EES LEE OTD                                   Appa naenisa Of,1
MCHC                              Calculated,1
Ans PAA Las NAA Abd ANA Mor roman pemaramannagrusnnansr igen eptte elo eon tare Win MYewr saree daaf,1
Collection DateTime G-,1
Referred By              Dr COL ARUN KUMAR VSM                 Bed NoWard          MICU-,1
TLC (Total Leucocyte Count),1
g       HAT Ps CIALITY       PSRI HOSPITA. Press Enclave Marg Sheikh Sarai Phase  Near Saket Court New Lelh,1
YEAST,1
BACTERIA,1
JLat eu,1
Pou Gy         ABMAYANAND KUMAR                          Ropartos,1
Cu cected    -,1
codicteadb at COS,1
.                      Sieera Bagh New Qellu -,1
ey CT MTT at poeta reetall Gy eegucnr gy OTe cyamemenid MS ang iv,1
MCV                              Light Scattering                      Q,1
MCcH                                   Calculated,1
Neutrophils ( VCSLM ),1
Lymphocytes (VCSLM ),1
Monocytes ( VCSLM ),1
Eosinophils (VCSLM ),1
Basopnils ( VCSLM ),1
easy oPhos,1
Pasa                                       CIN No U,1
AA wee ew adie,1
Tt TSR OE ET OP LS iss,1
EIT IS ici e,1
Ds    .,1
location          SUNSHINE GLOBAL HOSPITAL  MANJALPUR BARODA UHIDIPD   SERO,1
Hoye gh tou ta fES,1
ar)  .,1
HOSPITALS                    (,1
TAMBARAM      a,1
a Page,1
Approved On,1
Reg No.- G-,1
Puna                         Off  Plot No.,1
Do.tes       Or Srun Praseth MBBS MD                                             Report Date  Time        gp,1
Se Vaio A LID                         Serum,1
weet ow                      Serum,1
cf oto                          Serum,1
Glucose - Blood - Random,1
Biological Reference Interval - Source  American Diabetic Association Diabetes Care,1
Sodium (Na),1
Chloride(CL),1
Random Plasma Glucose             H,1
If the patient Random Plasma Glucose value is,1
containing equivaient of,1
-repeat testing.American diabetes association. Standards of medical care in diabetes,1
Poersbee Cee bre TN EGER                              OR aort paP PES Rare Qaarcebahtae thecpalgeale Put,1
MCC CARE GROUP                                                                                  Reported On  (,1
A Ae rrr,1
CAST PATHOLOGIAL,1
NON SQUAMOUS,1
SQUAMOUS EPITHELIAL,1
SS Cgsé. ZENITH HsPrTaL             Sample Drawn Date,1
Vial ID            R,1
entrosome         AC-,1
nineinCep,1
NUMALIKE          AC-,1
po                          Reg. No.,1
GANDHI HOSPITAL (UN)                      a,1
ReportStatus FinalReport                                BarcodeNo.,1
AC-,1
LAB Assist,1
Referred By       Dr. Dushyant Wamanrao Khedikar - Reg No.                    Reported On,1
a                                                            MR No.,1
Bill No.            O,1
Reticular            AC-,1
AMA(Mitochondrial)           OGDC-E,1
ofPDCE,1
PolarGolgilike      AC-,1
Rods and rings      AC-,1
MCHC                                      Calculated,1
RDW                                 Calculated,1
WBC Count                             Light Scattering,1
Intracellular         AC-,1
bridges,1
Mitotoc              ac-,1
chromosomecoat             H,1
po        Whole Blood                                                 Received On       Cf,1
Blood Urea Nitrogen (UreaseGLDH),1
GLUCOSE- Random (Hexokinase),1
Result Date  Time,1
Hemoglobin                           Colorimetric,1
Red Cell Count                          Light Scattering,1
Hematocrit                                  Light Scattering,1
MCV                                         Calculated,1
MCH                                        Calculated,1
Pos   bn oe A ec a ecco ae SZ EB recat gor ECan A Ga prOCU Lad Oy ING cotacgiise of umine gelds itis transpotes ty Liaod,1
Ft ed eee I POG et eter oe yn ty WU tuts,1
ed SO SE,1
-                                                                              -                                  -,1
NEES.,1
HEALTHCARE                                      SECTOR-,1
Ml PRADEEP KUMAR PARVAT  SR,1
jo                                                     as,1
on KUMAR PARVAT  SR,1
ID -,1
by  Or RAJENDER SINGLA                             Report Date M,1
HCV By ECLIA,1
Interpretation  COI,1
BRM PRADEEP KUMAR PARVAT  SR,1
SU EALTHCARE                                        SECTOR-,1
Ha PRADEEP KUMAR PARVAT  SR,1
User Nm LAB                  PrintDateTime                            s   stor Nr -bso,1
CBC Throid Kideny Function Test Liver Function Test Lipid Profile Blood Sugar LH FSH Prolactin (-HCG TORCH CA-,1
ID IP,1
by  Or RAJENDER SINGLA                                  Report Date i,1
_ ae HOU,1
Pus cells,1
RBCs,1
Epithelial cells                                  Q-,1
Pation       Mr. MOHIDEEN A.F                                                                                  te      ime,1
Referroc,1
SO-,1
CHOLESTEROL,1
LDL CHOLESTROI,1
VILDI CHOLESTROL,1
SERUM TRIGLUCERIDE,1
CHOLESTROL  HDT Be,1
CONJUGATED BILIRUBIN(DIRECT),1
UNCONJUGATED BILIRUBIN(INDIRECT),1
CBC Thyroid Kidney Function Test Liver Function Test Lipid Profile Blood Sugar LH FSH Prolactin -HCG TORCH CA-,1
NOT FOR MEDICO LEGAL PURPOSE  (avft,1
BIOGENE HEALTH CHECK PROFILE-,1
DLC( Eosinophils),1
DI C( Basophils),1
RB.,1
(Urs. .,1
CQ y -,1
vu          o),1
NOT FOR MEDICO LEGAL PURPOSE  (aeit afaen,1
Wevscowancns Bhagwan Das Hospital,1
Diagnastics S.No.                     UY AININUIDUATTIMETATUTLE UTI se v,1
a a,1
Sampie Receiving Date,1
-      ransaction No.,1
Sample  Time                                                        GE Date  Time,1
WAFMOGLOBIN,1
NeUTKOPHI IS,1
JYMPHOCYTES,1
MONOCY TE                     C,1
(Caicilat-,1
(FOG WiSout Pyinto. ai-,1
MOOTNOPHILS,1
SACHOPHILS                  ve                         cumm           Q--,1
MOH                         b.,1
Pr w,1
NOT FOR MEDICO LEGAL PURPOSE       (ait afaent,1
a       ee                  S             es,1
o ib                                                                       Pe lof,1
Fy Opp. Civil Hospital Jnajjar  i N,1
Destination Centre,1
Nanded City Pune -,1
S                 Dr.Hol KishorKumar                              Accessioned on        RR,1
Sampling Date  IMS,1
ee         Reporting Date  Ms,1
Bilirubin Total,1
Protein Total- Serum,1
Globulin - Serum,1
S.G.PLT.,1
SitRUM ALKALINE PHOSPHATSE,1
OiRUM PROTEIN,1
GGTP,1
of liver disease ALT activity is higher than that of AST exception may be ce - Vital Hepatitis,1
Note The parameter marked with an  are no                    O,1
New Delhi-,1
Shop No. F-,1
I  X,1
DL C(Polymorphs),1
DIC (Lymphocytes),1
DILC(Monocytes),1
Sample é Time                                                  GE Date  Time  RE,1
TOTAL BTLIRUBIN,1
DITkKECT BILIRUBIN,1
ANNI TRECT BILIRUBIN,1
PON,1
MLC.,1
M.CLHL,1
VEC LHC.,1
AG PATIO,1
user Nm LAB                Print Date Time x                          SysterNWao ascais,1
NOT FOR MEDICO LEGAL PURPOSE       (ast afaar,1
Reporting Date  Time,1
TLC Count,1
Neutropiits                                                                                   -,1
Lymphocytes                                                            -,1
Eosmophis,1
Prothrombin Time Test,1
PT CONTROL,1
ISI Value,1
Panchvati Nashik -,1
Basophis                                          .   b,1
PAN    . ae,1
Pnnted On -,1
(GOVT. REGISTERED HOSPITAL),1
Dat                                          attevela Daf .                 SB AO Al,1
ate,1
SS Z ce ys    a,1
Ptatelet Count(Opticalimpedance),1
lron(Fe),1
Unsaturated iron binding capacity (UIBC),1
Total Iron Binding Capacity (TIBC),1
Transferrin,1
cad,1
cCar,1
sOz,1
Monocytes                                                                 TT      -,1
Alkaline Phosphatase-,1
-                                              BIOGENE HEALTH CHECK PROFILE-,1
SecondThird Trimester,1
Cord Blood,1
e Thyroid gland is a butterfly-shaped endocrine gland that is normally located in the lower front of the neck. The thyroids job,1
e Thyroid produces two major hormones triiodothyronine (T,1
Secondly TSH stimulates the thyroid gland to synthesize and secrete T,1
Ref.          Dr. Rahul Trehan            MS,1
ite cers Choadivie Bhaterrat _  a,1
aa        Kirkatwadi                  Authorizedon,1
INSTRUMENT USED                                   TEST DONE ON FULLY AUTOMATED EM,1
oday-,1
ifirubin,1
F         fe.,1
MC L,1
Ishwar Hospital Cashless                Sample Recewed OW,1
Wo                           CYR Shu. DMC,1
The test marked with  is NABL accredited with NABL No MC-,1
This test has been performed at Lupin Diagnostics Laboratory SL PUNE Plot No-,1
Reg.  Corp. Office Lupin Diagnostics Limited (formerly known as Lupin Healthcare Limited),1
Santacruz (East) Mumbai-,1
cloudanine,1
Me by r. Amit Jayasingrao Nigade                                     Visit IDRef No,1
Barcode No  SHN,1
ie a TT    .,1
e Habyana Government  All Lab Test ICU  Ambulance Facility,1
Patient ic     SrINo._,1
Of vitamin D (,1
Veeth Ro etal The urgent need to recommened an intake of Vitamin D that is effective Am J Clin Nutr,1
wanes s Gar ey EP a ae RR.,1
Patient Id i                SrINo.,1
levels as Compared to a lag time of,1
Name         Mr. MOHD UVAIS     .     tapotlo com     Kee a,1
UHID                        iH Ng            NSKIP,1
SW LRN,1
a ee ree     L,1
SERUM BICARBONATE(Enzymatic),1
SERUM CHLORIDE (ISE  IMT),1
lron Saturation(( Transferrin Saturation),1
haa tls,1
AN ISO,1
By                Ishwar Hospital Cashiess              Sample Received ON,1
Ca _,1
iif                              Page GOf,1
Ss  .         AN,1
BIUAUBIN  NDIREC,1
Asoartate Arvenctransferase (ASTSGOT),1
ev Amirotransierase (ALTSGPT,1
PCT (Platetet Crit),1
GLUCOSE RANDOM,1
Sodum,1
BiLIPUAIN (TOTAL),1
Methand,1
BILIFUBIN (DIRECT),1
of it further gets metabolized by hydroxylation in kidney to vit D,1
Ihe measurement of,1
Aspartate Aminotransferase (ASTSGOT),1
é... Multipois Rate with P-,1
anine Aminotransterase (ALTSGPT),1
Mi thod Meltupoin Rate with P-,1
M                                                                                   Page,1
.        AN SO,1
(A unit of metro pathlabs                      A NABH,1
Ishwar Hospital Cashless                Sample Recewed ON,1
UTAL PROTEIN,1
ALBUMS,1
CACATININGE,1
MOOD URFA,1
URIC ACIO,1
e       LAN ISO,1
cal,1
BILIFUBIN (IND RECT,1
Ishwar Hospital Cashless                Sample Received,1
ALCR,1
- URIC ACIO-,1
PROCALCITONIN,1
BEE,1
- PROSTATOMEGALY GRADE-,1
-HAEMOGLOBINH),1
TOTAL LEUCOCYTE CONT (TLC) -,1
Alanine Aminotransferase (ALTSGPT),1
eo Multmoing Rate with P-,1
Ishwar Hospital Cashiess                Sample Reccived ON,1
PROCALCITOWIN,1
Neonates (,1
Meng.,1
ms bi,1
o        AM,1
sodium,1
BIURUBIN (TOTAL),1
BIURUBIN (ORECT),1
o. (Platelet Crit),1
GLUCOSE- RANDOM,1
JILIRUBIN (TOTAL,1
AILIRUSIN INDIRECT,1
Aspertste Ammotransferase (ASTSGOT),1
WHARDIE PA ZUYOA,1
aa   Me City,1
- ALKAUNE PHOSPHATASE-,1
Bantata City,1
o       AN ISO,1
.                                 (A unit of metro pathlabs,1
Ishtwar Hospital Cashless,1
GLUCOSE. RANDOM,1
cBase(Ecfc,1
cHCO,1
cBausebchec,1
CHCORLP sthe,1
pco,1
- PROCALCITONIN -,1
-HAEMOGLOGIN(HB,1
-TOTAL LEUCOCYTE CONT (TLC),1
cK t,1
FiHHibe                                       -,1
Hctc,1
Andhra Pradesh India Phone No,1
Reg.No,1
Add. Plot No.,1
ORS er,1
Hetc,1
EE Date  I,1
IPF,1
Neutrophil Absolute,1
Lymphocyte Absolute,1
Monocyte Absolute,1
Eosinophil Absolute,1
Basophil Absolute,1
cNat,1
-NEUTROPHL -,1
- SODIUM -,1
- TOTAL BILIRUBIN-,1
- UNCONJUGATED (,1
- SERUM ALBUMIN-,1
-EOSJINOPHL-,1
-RBC(RedBoodCells)-,1
- BLOOO UREA.,1
-RBC(RedBoodCells-,1
-MCY-,1
-MQOt-,1
- BLOOD SUGAR RANOOM-,1
- SODIUM,1
- POTASSIUM,1
NO FOR MEDICO LEGAL PURPOSE            aa ez apn,1
Trangaction No,1
- UNCONJUGATED (I.D.Billeubin)-,1
- SERUM ALBUMIN.,1
-  PROCALCITONIN-,1
-HAEMOGLOBIN(H,1
-TOTAL LEUCOCYTE CONT (TLC,1
LYMPHOCYTE -,1
-LYMPHOCYTE,1
-EOSINOPHL-,1
-RBC RedBoodCells)-,1
)                                                            - SODIUM,1
LIVER FUNCTION TEST                                                                                                      qv     whe,1
Wy a   Zz  .                                                                                         a,1
UHID                  AlGG.,1
Episode            IP                                            IPBed,1
Sample No  AGILO,1
- CONJUGATED (D. Bilirubin)-,1
BLOOD UREA  Serum,1
SERUM CREATININE  Serum,1
SODIUM  Serum,1
POTASSIUM  Serum,1
CHLORIDE  Serum,1
Patient Id                 SrINo.,1
L DL CHOLESTEROL DIRECT,1
-LOSINOPHL-,1
RSC. RITESH KUMAR RAO             GNo.,1
o     ee                           ae                              sec.,1
oe                     lise                            sec                --,1
Le  i                      a,1
Pathologist,1
ciser Nm LAB                  Print Date  Time x                             System Nm,1
NOT FOR MEDICO LEGAL PURPOSE  (asit afaer,1
Tranfgaction No,1
He   on a                   Regd. HN,1
CBC Thyreid Kidmey Fuaction Test Liver Function Test Lipid Profile Blood Sugar LH FSH Prolactin B-HCG TORCH CA-,1
NO FOR MEDICO LEGAL PURPOSE              At oe af,1
.                                                            DMCR,1
O  p                                                                e,1
e  Haryana Government  All Lab Test ICU  Ambulance Facility,1
a                             Ph.,1
tte Lz                              Sti No.,1
.             Regé-HN,1
ens                                                                Regd. No. OMCR,1
CBC Thyreid Kid     Péactio  Sest Liver Function Test Lipid Prefile Bloed Sugar LN FSH Prolactin B-HCG TORCH CA-,1
E .G.-,1
Trangaction No.,1
Mobée No       ia                    Fs     -,1
This (,1
aR foo pe                                 APR on                 Regier piMeR,1
DREGT BILIRUBIN,1
SG.,1
Bo UREA,1
SERUM POTASIUM,1
BIOSCAR HIOSPITAL            ample Rec. Date,1
FINAL REPORT UPTO,1
method ABT reporting ts done as per CLINICAL AND LABORATORY STANDARDS INSTITUTE USA,1
-B.,1
or ee,1
GE www therointhospital         www facebook ro,1
a  a,1
Mobile Np.                                                P,1
w       g,1
AE                                                                   OMCR,1
CBC Thyroid Kidaby Function Test Liver Function Test Lipid Profile Blood Sugar LH FSH Prolactin B-HCG TORCH CA-,1
NOT FOR MEDICO LEGAL PURPOSE            wat tee Arr,1
NOT FOR MEDICO LEGAL PURPOSE              dt ex afm,1
Date       P                               Sri No.,1
ERR Or. MRINAL VERMA                    GNo.,1
BOL IMS EH,1
Gla TUN,1
RM verse Heaney,1
thejointhospitaloMaal,1
A Vase SETA. vam ras  Ch cebion,1
Sample BBS Time                                                 GE Date  Time  RR,1
Cs                           Ph.,1
Date       a.                            Srl No.,1
a                a,1
Gor. MRINAL VERMA                     GNo.,1
WARYIBEPHORUS,1
Aa AS                           Gynae)       CUR Mad get,1
FE .G.-,1
Moble No.                    aoe          Po,1
The first days after a major trauma major Surgical intervention burns treatment with OKT,1
ME Web lanel nica Illa bonatory                   a.,1
w       KARNAL,1
_         URINEEXAMINATIONREPORT,1
lc Labcratcry                                                                                               MEBS.M,1
nsactionNo.,1
obile ii                           MR  IP No.,1
Low Risk for Sepsis,1
High Risk for Sepsis,1
ye U AL                                                                            brats .                .,1
Phosphorous,1
Magnesium,1
Pus Cells (W.B.C),1
Printed by  LAB                        PrintOt Tm  i,1
E EG-,1
FHHbe                                          -,1
clit                                            L,1
Hoke,1
chd,1
- High risk for sepsis,1
Interpretation,1
returns to normal with half life of,1
mg per day) supplements at least,1
ey Function Test Liver Function Test Lipid Profile Stood Sugar LH FSH Prolactin B-HCG TORCH CA-,1
NOf FOR MEDICO LEGAL PURPOSE            wat we Afr,1
Rega. No.        R,1
SES,1
CBC Thyroid Kidney Function Test Liver Function Test Lipid Profile Blood Sugar LH FSH Prolactin B-HCG TORCH CA-,1
Shiv Nagar Khemnichak Near Raju Kirana Patna,1
TOTAL BILIRUBIN                                 (tis)                       medI,1
FOYHbeE,1
Male,1
Child up to,1
Infants,1
SPECIFIC GRAWTY,1
WBCPUS CELLB (PER HPF,1
EPTIHELIAL CEBLS (PER HPF),1
Yr. Sidd.cnn                          Rego No OMCU,1
oOo,1
MS ANJAY                                          tre Dis Jhajjar Haryana -,1
Jame . Mrs. Krishnakumar      Kqe,1
Date                                  LabNo,1
(Cyvanmet. method)                                                        F,1
PT Ast                    Ph.,1
Date                           Sri No.,1
EJ Or. MRINAL VERMA                     GNo.,1
Test                                              a,1
.        a       _     _                                                                                                           -     SIN SOMGssobl,1
Haanogiori,1
Busophils,1
MICHC,1
eft vengt arecenes,1
tneointhospitaioficia,1
a                 -           Property (,1
Ww                                            Opp. Motro Pier No.,1
Neutroprils,1
Lympnocytes,1
Vonocytes,1
Kab cpl,1
.    -                        Da Ne. J,1
.                          dae Q a,1
Pater          ee,1
Rago,1
NOT FOR MEDICO LEGAL PURPOSE             wat oe afer,1
Transaction Nb.,1
Mobile No.         hz                        Pe       .,1
Packed Call Vo-ume,1
Total Leucocyte Court (TLC),1
W.CH,1
CHC,1
Piaraiet Count,1
Reporting  Time,1
PCO,1
tcO,1
HCO,1
HCt(c),1
L HDL RATIO,1
eeoeoe END OF REPORT o,1
is gehen,1
Absolule Neutrophil Count,1
Absclute Basephl Count,1
most Performed,1
Baoking Centre,1
Or. Maonakshi Jan                                       Recering DateTime,1
Test Performed al,1
Ip. Civil Hospital Sonipat  Mob,1
Mobile Nb. ii                P           _,1
UIMID NO ING,1
Name               re ee                                   Narmple Kee Mate TER,1
IDTAL LEE COOYTE COO NTITLE),1
NE EUTIROPE EL S                         ae                                   a,1
MONOCY TES                           (,1
HASGIPIE ES                         UQ                              my             -,1
Ie F,1
Basopnils,1
NICK,1
hAC HH,1
PLATELET CCn Ny.,1
Ke  ao,1
Hoegita Nii seat Vetmetiactd OR Cs IAA Near Hil Aire Beas rams tc Tel Ne. ler Dade otaat tit weve,1
Regsbeks) Mion Teyprss NEABANR AT,1
Ujala Cygnus Hoepitats Haryana Sonat,1
Lov.Rey No,1
cre,1
eoneo,1
iS  BS  BS               Regd. No-,1
CBC Thyroid Kidney Function Test Liver Function Test Lipid Profile Bloed Sugar LH FSH Prolactin B-HCG TORCH CA-,1
tE C.-,1
Mobile No.                Le                                      fF,1
AEMOGLOBIN,1
YMPHOCYTES,1
RROD MRINAL VERMA                      GRINo.,1
OSINOPHILS,1
PLATELATE COUN,1
wPy ss          ep,1
eX   rl ks - Regd. No.- DMC,1
CBC Thyreid haw      ctien Test fiver Function Test Lipid Profile Bleed Sugar LH FSH Prolactin B-HCG TORCH CA-,1
EG -,1
NOT F JR MEDICO LEGAL PURPOSE             at wz Afra,1
ROL,1
LO. CHOLES  ROL,1
VLOL CHOLEZTEROL,1
SERUM TRIGEYCERIDE,1
Date x             Sri No.,1
Or. MRINAL VERMA               ENo.,1
es               Ph.,1
Date                                        Srl No.,1
T i,1
WES                 Regd. No-,1
CBC Thyreid Kidney Faacthen Test Liver Function Test Lipid Profile Blood Sugar LH FSH Protactin B-HCG TORCH CA-,1
EF CG -,1
The first days after a major trauma major surgical intervention burns treatment with OKT,1
TransactioniNo.,1
Mobile No           a                        pe,1
PHOLESTER L,1
SERUM SGOT(AST)                         (FAT                   IUL,1
SERUM SGPT(ALT),1
SERUM TOTAL PROTEIN                             L,1
SERUM ALBUMIN                       Lb,1
ALKALINE PHOSPHATSE,1
P              OP,1
Magnesium (Xylldyl,1
Mean Normal Prothrombin,1
Printed by LAB                    PrintDt,1
(K Good LifebAGNos,1
DR VISHWABHARATH REDDY                      IP NO                     IP,1
Bedno                     ICU BED,1
Serum Creatinine                       -,1
RANDOM BLOOD SUGAR,1
Direct Bilirubin                                  -,1
AST (SGOT),1
glo,1
-        Regd. No-,1
CBC Thyreid Kidney       tien Test Liver Function Test Lipid Profile Blood Sugar LH FSH Prolactia B-HCG TORCH CA-,1
AE G.-,1
ardRoomBed                                   Service No        -,1
ALT (SGPT),1
ALP (Alkaline Phosphatase),1
Adults,1
egative,1
ositive,1
poe OE  ry        Regd. No-,1
CBC Thyreid Kidney Function Test Liver Function Test Lipid Prefile Blood Sagar LH FSH Prelactin B-HCG TORCH CA-,1
ERC -,1
NOT FO MEDICO LEGAL PURPOSE             wat ae Afra,1
Transaction Bo.,1
Mobile No               a.                   -,1
